,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000681.SZ,20230508,17.41,19.36,17.09,18.29,17.69,0.6,3.3917,1136889.8,2048398.772
1,000681.SZ,20230505,16.92,18.47,16.41,17.69,16.88,0.81,4.7986,1144363.69,1987593.263
2,000681.SZ,20230504,16.46,17.15,15.73,16.88,16.51,0.37,2.2411,944700.6,1557574.289
3,000681.SZ,20230428,15.66,16.95,15.02,16.51,16.65,-0.14,-0.8408,1121935.69,1785066.611
4,000681.SZ,20230427,18.0,18.0,16.65,16.65,18.5,-1.85,-10.0,246934.24,417392.239
5,000681.SZ,20230426,17.2,19.15,17.05,18.5,17.62,0.88,4.9943,1329282.06,2450615.625
6,000681.SZ,20230425,18.12,18.45,16.79,17.62,17.44,0.18,1.0321,944591.11,1676027.06
7,000681.SZ,20230424,17.95,18.26,17.05,17.44,17.95,-0.51,-2.8412,841558.06,1491053.271
8,000681.SZ,20230421,18.89,19.22,17.8,17.95,18.5,-0.55,-2.973,997087.85,1838585.122
9,000681.SZ,20230420,17.19,18.5,17.18,18.5,16.82,1.68,9.9881,1032899.7,1878834.882
10,000681.SZ,20230419,16.79,17.33,16.67,16.82,16.88,-0.06,-0.3555,615105.34,1048823.685
11,000681.SZ,20230418,17.15,17.24,16.45,16.88,17.2,-0.32,-1.8605,485419.55,817785.997
12,000681.SZ,20230417,17.75,18.0,17.15,17.2,18.21,-1.01,-5.5464,626539.31,1093546.256
13,000681.SZ,20230414,18.71,19.15,17.49,18.21,18.49,-0.28,-1.5143,827217.72,1511781.515
14,000681.SZ,20230413,19.89,20.18,18.41,18.49,19.16,-0.67,-3.4969,1322840.35,2551660.962
15,000681.SZ,20230412,18.35,19.16,18.35,19.16,17.42,1.74,9.9885,1106227.66,2088652.055
16,000681.SZ,20230411,15.88,17.42,15.75,17.42,15.84,1.58,9.9747,551613.36,922373.607
17,000681.SZ,20230410,17.22,18.2,15.84,15.84,16.78,-0.94,-5.6019,720443.27,1224653.094
18,000681.SZ,20230407,16.8,16.92,16.19,16.78,16.47,0.31,1.8822,405125.37,674084.656
19,000681.SZ,20230406,17.25,17.45,16.38,16.47,17.7,-1.23,-6.9492,580584.77,972226.398
20,000681.SZ,20230404,17.6,19.2,17.56,17.7,17.52,0.18,1.0274,871232.01,1582427.054
21,000681.SZ,20230403,16.56,17.69,16.49,17.52,16.68,0.84,5.036,672174.4,1152322.462
22,000681.SZ,20230331,16.1,16.75,15.88,16.68,16.03,0.65,4.0549,398765.59,653347.859
23,000681.SZ,20230330,16.55,16.76,15.94,16.03,16.67,-0.64,-3.8392,396523.14,644095.427
24,000681.SZ,20230329,16.81,17.11,16.15,16.67,16.74,-0.07,-0.4182,521352.74,866886.246
25,000681.SZ,20230328,17.06,17.15,16.51,16.74,17.44,-0.7,-4.0138,490281.02,824492.173
26,000681.SZ,20230327,18.41,18.48,16.98,17.44,18.0,-0.56,-3.1111,901046.75,1592732.776
27,000681.SZ,20230324,17.94,18.2,17.28,18.0,17.81,0.19,1.0668,965892.99,1724800.852
28,000681.SZ,20230323,17.03,18.41,16.68,17.81,17.02,0.79,4.6416,1156222.16,2016862.784
29,000681.SZ,20230322,16.8,17.33,16.55,17.02,16.17,0.85,5.2566,907941.35,1535002.071
30,000681.SZ,20230321,15.8,16.28,15.68,16.17,15.94,0.23,1.4429,405140.36,651385.741
31,000681.SZ,20230320,16.04,16.3,15.66,15.94,15.94,0.0,0.0,520238.47,832184.528
32,000681.SZ,20230317,14.89,16.19,14.88,15.94,14.78,1.16,7.8484,765232.92,1198925.215
33,000681.SZ,20230316,14.53,15.09,14.23,14.78,14.9,-0.12,-0.8054,409906.61,602964.183
34,000681.SZ,20230315,15.28,15.83,14.8,14.9,15.09,-0.19,-1.2591,420599.27,640177.583
35,000681.SZ,20230314,15.9,16.09,14.96,15.09,16.01,-0.92,-5.7464,522139.38,803616.487
36,000681.SZ,20230313,15.7,16.03,15.36,16.01,15.45,0.56,3.6246,443042.96,699615.079
37,000681.SZ,20230310,15.49,15.78,15.27,15.45,15.63,-0.18,-1.1516,266550.28,414665.162
38,000681.SZ,20230309,15.7,15.84,15.32,15.63,15.71,-0.08,-0.5092,261980.36,407554.764
39,000681.SZ,20230308,15.62,15.91,15.51,15.71,15.77,-0.06,-0.3805,245422.3,384744.249
40,000681.SZ,20230307,15.7,16.35,15.44,15.77,15.76,0.01,0.0635,480790.5,764629.368
41,000681.SZ,20230306,16.2,16.4,15.68,15.76,16.34,-0.58,-3.5496,368856.05,585531.152
42,000681.SZ,20230303,15.82,16.64,15.75,16.34,16.22,0.12,0.7398,552828.39,896975.452
43,000681.SZ,20230302,15.63,16.8,15.5,16.22,15.81,0.41,2.5933,796037.48,1280742.544
44,000681.SZ,20230301,15.18,15.87,15.13,15.81,15.18,0.63,4.1502,643856.24,1003352.126
45,000681.SZ,20230228,15.3,15.36,14.82,15.18,15.06,0.12,0.7968,289910.93,436733.212
46,000681.SZ,20230227,15.22,15.54,15.03,15.06,15.36,-0.3,-1.9531,241482.79,367210.936
47,000681.SZ,20230224,15.34,15.56,15.18,15.36,15.28,0.08,0.5236,308458.13,473942.516
48,000681.SZ,20230223,16.0,16.09,15.17,15.28,15.99,-0.71,-4.4403,428037.1,659499.513
49,000681.SZ,20230222,16.05,16.2,15.67,15.99,16.33,-0.34,-2.0821,342730.44,546308.763
50,000681.SZ,20230221,16.21,16.64,16.1,16.33,16.46,-0.13,-0.7898,437753.2,715903.375
51,000681.SZ,20230220,16.1,16.52,15.85,16.46,15.94,0.52,3.2622,515445.72,833854.904
52,000681.SZ,20230217,16.85,17.04,15.88,15.94,16.87,-0.93,-5.5127,740005.01,1205866.745
53,000681.SZ,20230216,17.3,17.77,16.79,16.87,17.65,-0.78,-4.4193,954979.16,1644734.717
54,000681.SZ,20230215,17.03,17.93,16.52,17.65,17.13,0.52,3.0356,1186026.71,2049879.872
55,000681.SZ,20230214,17.25,17.66,16.51,17.13,16.91,0.22,1.301,905483.15,1546450.814
56,000681.SZ,20230213,16.31,16.91,16.16,16.91,16.66,0.25,1.5006,787765.48,1302925.326
57,000681.SZ,20230210,16.71,17.37,16.44,16.66,16.94,-0.28,-1.6529,905823.82,1535496.271
58,000681.SZ,20230209,16.67,17.3,16.56,16.94,16.9,0.04,0.2367,867717.66,1467697.05
59,000681.SZ,20230208,18.46,18.46,16.88,16.9,18.48,-1.58,-8.5498,1337230.49,2328938.445
60,000681.SZ,20230207,16.6,18.48,16.25,18.48,16.8,1.68,10.0,1259902.0,2219430.904
61,000681.SZ,20230206,16.8,17.17,16.4,16.8,17.22,-0.42,-2.439,1164132.37,1950557.799
62,000681.SZ,20230203,17.37,17.95,16.59,17.22,17.03,0.19,1.1157,1460899.11,2531565.997
63,000681.SZ,20230202,16.34,17.6,16.15,17.03,16.0,1.03,6.4375,1618120.6,2767492.782
64,000681.SZ,20230201,15.66,16.79,15.07,16.0,15.29,0.71,4.6436,1372771.87,2176993.448
65,000681.SZ,20230131,14.0,15.29,13.81,15.29,13.9,1.39,10.0,1033509.56,1479891.818
66,000681.SZ,20230130,13.89,13.9,13.52,13.9,12.64,1.26,9.9684,592556.74,820136.233
67,000681.SZ,20230120,12.52,12.75,12.5,12.64,12.52,0.12,0.9585,142458.61,179766.374
68,000681.SZ,20230119,12.38,12.58,12.31,12.52,12.44,0.08,0.6431,138662.41,173076.684
69,000681.SZ,20230118,12.33,12.58,12.33,12.44,12.33,0.11,0.8921,132320.42,164885.938
70,000681.SZ,20230117,12.48,12.59,12.22,12.33,12.53,-0.2,-1.5962,144440.59,178669.268
71,000681.SZ,20230116,12.42,12.68,12.38,12.53,12.43,0.1,0.8045,166806.64,209720.418
72,000681.SZ,20230113,12.64,12.64,12.31,12.43,12.54,-0.11,-0.8772,148281.12,184347.67
73,000681.SZ,20230112,12.62,12.77,12.34,12.54,12.66,-0.12,-0.9479,228379.54,286227.186
74,000681.SZ,20230111,13.06,13.3,12.59,12.66,13.12,-0.46,-3.5061,358110.64,460952.8
75,000681.SZ,20230110,12.52,13.52,12.46,13.12,12.62,0.5,3.962,551328.83,722151.23
76,000681.SZ,20230109,12.7,12.93,12.58,12.62,12.58,0.04,0.318,197394.41,251060.319
77,000681.SZ,20230106,12.71,12.8,12.45,12.58,12.82,-0.24,-1.8721,218048.99,274519.637
78,000681.SZ,20230105,12.91,13.12,12.64,12.82,12.81,0.01,0.0781,289809.56,372691.804
79,000681.SZ,20230104,13.0,13.0,12.67,12.81,13.03,-0.22,-1.6884,384060.14,492286.278
80,000681.SZ,20230103,12.32,13.18,12.24,13.03,12.3,0.73,5.935,552839.18,703377.683
81,000681.SZ,20221230,11.66,12.48,11.65,12.3,11.78,0.52,4.4143,399978.83,487693.621
82,000681.SZ,20221229,12.3,12.4,11.75,11.78,12.1,-0.32,-2.6446,285528.09,343836.174
83,000681.SZ,20221228,11.93,12.38,11.66,12.1,12.0,0.1,0.8333,232848.36,281768.534
84,000681.SZ,20221227,12.06,12.15,11.83,12.0,12.06,-0.06,-0.4975,121137.7,144656.956
85,000681.SZ,20221226,11.98,12.12,11.71,12.06,11.97,0.09,0.7519,138283.71,165927.652
86,000681.SZ,20221223,11.54,12.15,11.51,11.97,11.63,0.34,2.9235,263206.89,313815.213
87,000681.SZ,20221222,12.28,12.3,11.62,11.63,12.02,-0.39,-3.2446,278485.27,332319.754
88,000681.SZ,20221221,11.89,12.4,11.82,12.02,11.98,0.04,0.3339,206299.83,250879.449
89,000681.SZ,20221220,12.49,12.63,11.83,11.98,12.25,-0.27,-2.2041,243771.02,296804.326
90,000681.SZ,20221219,12.33,12.64,12.15,12.25,12.53,-0.28,-2.2346,178765.97,220024.721
91,000681.SZ,20221216,12.48,12.87,12.41,12.53,12.66,-0.13,-1.0269,256956.35,324390.392
92,000681.SZ,20221215,12.4,12.79,12.31,12.66,12.39,0.27,2.1792,300734.63,377953.424
93,000681.SZ,20221214,12.2,12.58,12.14,12.39,12.23,0.16,1.3083,220307.8,273159.422
94,000681.SZ,20221213,12.36,12.64,12.18,12.23,12.5,-0.27,-2.16,239071.73,295294.72
